team,entry,topic,slot,schedule,stat,N,result
0,0,ATTRACTION,all,1,precision,9983,0.1864169
0,0,ATTRACTION,all,1,recall,13699,0.1358493
0,0,ATTRACTION,all,1,f1,21821,0.1571658
0,0,TRANSPORTATION,INFO,1,acc,1132,0.0697880
0,0,TRANSPORTATION,INFO,1,precision,106,0.7452830
0,0,TRANSPORTATION,INFO,1,recall,1195,0.0661088
0,0,TRANSPORTATION,INFO,1,f1,1222,0.1214450
0,0,TRANSPORTATION,FROM,1,acc,1217,0.0345111
0,0,TRANSPORTATION,FROM,1,precision,1455,0.0611684
0,0,TRANSPORTATION,FROM,1,recall,1055,0.0843602
0,0,TRANSPORTATION,FROM,1,f1,2421,0.0709163
0,0,TRANSPORTATION,TO,1,acc,1222,0.0728314
0,0,TRANSPORTATION,TO,1,precision,1455,0.0955326
0,0,TRANSPORTATION,TO,1,recall,1081,0.1285846
0,0,TRANSPORTATION,TO,1,f1,2397,0.1096215
0,0,TRANSPORTATION,STATION,1,acc,308,0.1006494
0,0,TRANSPORTATION,STATION,1,precision,101,0.3069307
0,0,TRANSPORTATION,STATION,1,recall,269,0.1152416
0,0,TRANSPORTATION,STATION,1,f1,339,0.1675676
0,0,TRANSPORTATION,LINE,1,acc,242,0.0000000
0,0,TRANSPORTATION,LINE,1,precision,0,-
0,0,TRANSPORTATION,LINE,1,recall,263,0.0000000
0,0,TRANSPORTATION,LINE,1,f1,263,-
0,0,TRANSPORTATION,TYPE,1,acc,1702,0.0158637
0,0,TRANSPORTATION,TYPE,1,precision,52,0.6538462
0,0,TRANSPORTATION,TYPE,1,recall,1771,0.0191982
0,0,TRANSPORTATION,TYPE,1,f1,1789,0.0373012
0,0,TRANSPORTATION,TICKET,1,acc,43,0.0000000
0,0,TRANSPORTATION,TICKET,1,precision,0,-
0,0,TRANSPORTATION,TICKET,1,recall,43,0.0000000
0,0,TRANSPORTATION,TICKET,1,f1,43,-
0,0,TRANSPORTATION,all,1,acc,1940,0.0000000
0,0,TRANSPORTATION,all,1,precision,3169,0.1173872
0,0,TRANSPORTATION,all,1,recall,5677,0.0655276
0,0,TRANSPORTATION,all,1,f1,8474,0.0841058
0,0,SHOPPING,INFO,1,acc,536,0.0149254
0,0,SHOPPING,INFO,1,precision,8,1.0000000
0,0,SHOPPING,INFO,1,recall,603,0.0132670
0,0,SHOPPING,INFO,1,f1,603,0.0261866
0,0,SHOPPING,TYPE_OF_PLACE,1,acc,370,0.0891892
0,0,SHOPPING,TYPE_OF_PLACE,1,precision,183,0.2841530
0,0,SHOPPING,TYPE_OF_PLACE,1,recall,331,0.1570997
0,0,SHOPPING,TYPE_OF_PLACE,1,f1,462,0.2023346
0,0,SHOPPING,PLACE,1,acc,398,0.0678392
0,0,SHOPPING,PLACE,1,precision,234,0.1923077
0,0,SHOPPING,PLACE,1,recall,277,0.1624549
0,0,SHOPPING,PLACE,1,f1,466,0.1761252
0,0,SHOPPING,NEIGHBOURHOOD,1,acc,405,0.3432099
0,0,SHOPPING,NEIGHBOURHOOD,1,precision,227,0.6255507
0,0,SHOPPING,NEIGHBOURHOOD,1,recall,330,0.4303030
0,0,SHOPPING,NEIGHBOURHOOD,1,f1,415,0.5098743
0,0,SHOPPING,TIME,1,acc,42,0.0000000
0,0,SHOPPING,TIME,1,precision,42,0.0000000
0,0,SHOPPING,TIME,1,recall,0,-
0,0,SHOPPING,TIME,1,f1,42,-
0,0,SHOPPING,all,1,acc,745,0.0040268
0,0,SHOPPING,all,1,precision,694,0.3559078
0,0,SHOPPING,all,1,recall,1541,0.1602855
0,0,SHOPPING,all,1,f1,1988,0.2210291
0,0,ACCOMMODATION,INFO,1,acc,804,0.0062189
0,0,ACCOMMODATION,INFO,1,precision,5,1.0000000
0,0,ACCOMMODATION,INFO,1,recall,917,0.0054526
0,0,ACCOMMODATION,INFO,1,f1,917,0.0108460
0,0,ACCOMMODATION,TYPE_OF_PLACE,1,acc,192,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,1,precision,77,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,1,recall,140,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,1,f1,217,-
0,0,ACCOMMODATION,PLACE,1,acc,752,0.0345745
0,0,ACCOMMODATION,PLACE,1,precision,43,0.6046512
0,0,ACCOMMODATION,PLACE,1,recall,782,0.0332481
0,0,ACCOMMODATION,PLACE,1,f1,799,0.0630303
0,0,ACCOMMODATION,NEIGHBOURHOOD,1,acc,303,0.1320132
0,0,ACCOMMODATION,NEIGHBOURHOOD,1,precision,251,0.1832669
0,0,ACCOMMODATION,NEIGHBOURHOOD,1,recall,137,0.3357664
0,0,ACCOMMODATION,NEIGHBOURHOOD,1,f1,342,0.2371134
0,0,ACCOMMODATION,all,1,acc,973,0.0184995
0,0,ACCOMMODATION,all,1,precision,376,0.2047872
0,0,ACCOMMODATION,all,1,recall,1976,0.0389676
0,0,ACCOMMODATION,all,1,f1,2275,0.0654762
0,0,all,all,2,acc,1307,0.0321347
0,0,all,all,2,precision,3151,0.1424944
0,0,all,all,2,recall,2993,0.1500167
0,0,all,all,2,f1,5695,0.1461589
0,0,FOOD,INFO,2,acc,162,0.0000000
0,0,FOOD,INFO,2,precision,23,0.0000000
0,0,FOOD,INFO,2,recall,178,0.0000000
0,0,FOOD,INFO,2,f1,201,-
0,0,FOOD,CUISINE,2,acc,76,0.1710526
0,0,FOOD,CUISINE,2,precision,93,0.1505376
0,0,FOOD,CUISINE,2,recall,75,0.1866667
0,0,FOOD,CUISINE,2,f1,154,0.1666667
0,0,FOOD,TYPE_OF_PLACE,2,acc,45,0.1333333
0,0,FOOD,TYPE_OF_PLACE,2,precision,20,0.3500000
0,0,FOOD,TYPE_OF_PLACE,2,recall,36,0.1944444
0,0,FOOD,TYPE_OF_PLACE,2,f1,49,0.2500000
0,0,FOOD,DRINK,2,acc,15,0.0666667
0,0,FOOD,DRINK,2,precision,23,0.1304348
0,0,FOOD,DRINK,2,recall,10,0.3000000
0,0,FOOD,DRINK,2,f1,30,0.1818182
0,0,FOOD,PLACE,2,acc,90,0.0333333
0,0,FOOD,PLACE,2,precision,604,0.0049669
0,0,FOOD,PLACE,2,recall,65,0.0461538
0,0,FOOD,PLACE,2,f1,666,0.0089686
0,0,FOOD,MEAL_TIME,2,acc,9,0.0000000
0,0,FOOD,MEAL_TIME,2,precision,9,0.1111111
0,0,FOOD,MEAL_TIME,2,recall,3,0.3333333
0,0,FOOD,MEAL_TIME,2,f1,11,0.1666667
0,0,FOOD,DISH,2,acc,172,0.1918605
0,0,FOOD,DISH,2,precision,157,0.2547771
0,0,FOOD,DISH,2,recall,174,0.2298851
0,0,FOOD,DISH,2,f1,291,0.2416918
0,0,FOOD,NEIGHBOURHOOD,2,acc,41,0.2682927
0,0,FOOD,NEIGHBOURHOOD,2,precision,121,0.0991736
0,0,FOOD,NEIGHBOURHOOD,2,recall,30,0.4000000
0,0,FOOD,NEIGHBOURHOOD,2,f1,139,0.1589404
0,0,FOOD,all,2,acc,272,0.0404412
0,0,FOOD,all,2,precision,1050,0.0761905
0,0,FOOD,all,2,recall,571,0.1401051
0,0,FOOD,all,2,f1,1541,0.0987045
0,0,ATTRACTION,INFO,2,acc,407,0.0073710
0,0,ATTRACTION,INFO,2,precision,69,0.1449275
0,0,ATTRACTION,INFO,2,recall,465,0.0215054
0,0,ATTRACTION,INFO,2,f1,524,0.0374532
0,0,ATTRACTION,TYPE_OF_PLACE,2,acc,201,0.1890547
0,0,ATTRACTION,TYPE_OF_PLACE,2,precision,174,0.2643678
0,0,ATTRACTION,TYPE_OF_PLACE,2,recall,137,0.3357664
0,0,ATTRACTION,TYPE_OF_PLACE,2,f1,265,0.2958199
0,0,ATTRACTION,ACTIVITY,2,acc,167,0.0778443
0,0,ATTRACTION,ACTIVITY,2,precision,190,0.1210526
0,0,ATTRACTION,ACTIVITY,2,recall,125,0.1840000
0,0,ATTRACTION,ACTIVITY,2,f1,292,0.1460317
0,0,ATTRACTION,PLACE,2,acc,420,0.1571429
0,0,ATTRACTION,PLACE,2,precision,505,0.1643564
0,0,ATTRACTION,PLACE,2,recall,423,0.1962175
0,0,ATTRACTION,PLACE,2,f1,845,0.1788793
0,0,ATTRACTION,TIME,2,acc,54,0.0925926
0,0,ATTRACTION,TIME,2,precision,60,0.1333333
0,0,ATTRACTION,TIME,2,recall,31,0.2580645
0,0,ATTRACTION,TIME,2,f1,83,0.1758242
0,0,ATTRACTION,NEIGHBOURHOOD,2,acc,251,0.3027888
0,0,ATTRACTION,NEIGHBOURHOOD,2,precision,391,0.2250639
0,0,ATTRACTION,NEIGHBOURHOOD,2,recall,199,0.4422111
0,0,ATTRACTION,NEIGHBOURHOOD,2,f1,502,0.2983051
0,0,ATTRACTION,all,2,acc,614,0.0472313
0,0,ATTRACTION,all,2,precision,1389,0.1857451
0,0,ATTRACTION,all,2,recall,1380,0.1869565
0,0,ATTRACTION,all,2,f1,2511,0.1863489
0,0,TRANSPORTATION,INFO,2,acc,126,0.0634921
0,0,TRANSPORTATION,INFO,2,precision,11,0.7272727
0,0,TRANSPORTATION,INFO,2,recall,132,0.0606061
0,0,TRANSPORTATION,INFO,2,f1,135,0.1118881
0,0,TRANSPORTATION,FROM,2,acc,145,0.0275862
0,0,TRANSPORTATION,FROM,2,precision,255,0.0392157
0,0,TRANSPORTATION,FROM,2,recall,123,0.0813008
0,0,TRANSPORTATION,FROM,2,f1,368,0.0529101
0,0,TRANSPORTATION,TO,2,acc,144,0.1458333
0,0,TRANSPORTATION,TO,2,precision,255,0.1215686
0,0,TRANSPORTATION,TO,2,recall,128,0.2421875
0,0,TRANSPORTATION,TO,2,f1,352,0.1618799
0,0,TRANSPORTATION,STATION,2,acc,34,0.1764706
0,0,TRANSPORTATION,STATION,2,precision,19,0.3157895
0,0,TRANSPORTATION,STATION,2,recall,27,0.2222222
0,0,TRANSPORTATION,STATION,2,f1,40,0.2608696
0,0,TRANSPORTATION,LINE,2,acc,29,0.0000000
0,0,TRANSPORTATION,LINE,2,precision,0,-
0,0,TRANSPORTATION,LINE,2,recall,31,0.0000000
0,0,TRANSPORTATION,LINE,2,f1,31,-
0,0,TRANSPORTATION,TYPE,2,acc,202,0.0247525
0,0,TRANSPORTATION,TYPE,2,precision,9,0.6666667
0,0,TRANSPORTATION,TYPE,2,recall,209,0.0287081
0,0,TRANSPORTATION,TYPE,2,f1,212,0.0550459
0,0,TRANSPORTATION,TICKET,2,acc,5,0.0000000
0,0,TRANSPORTATION,TICKET,2,precision,0,-
0,0,TRANSPORTATION,TICKET,2,recall,5,0.0000000
0,0,TRANSPORTATION,TICKET,2,f1,5,-
0,0,TRANSPORTATION,all,2,acc,231,0.0000000
0,0,TRANSPORTATION,all,2,precision,549,0.1111111
0,0,TRANSPORTATION,all,2,recall,655,0.0931298
0,0,TRANSPORTATION,all,2,f1,1143,0.1013289
0,0,SHOPPING,INFO,2,acc,45,0.0222222
0,0,SHOPPING,INFO,2,precision,1,1.0000000
0,0,SHOPPING,INFO,2,recall,52,0.0192308
0,0,SHOPPING,INFO,2,f1,52,0.0377358
0,0,SHOPPING,TYPE_OF_PLACE,2,acc,41,0.1951220
0,0,SHOPPING,TYPE_OF_PLACE,2,precision,23,0.4347826
0,0,SHOPPING,TYPE_OF_PLACE,2,recall,35,0.2857143
0,0,SHOPPING,TYPE_OF_PLACE,2,f1,48,0.3448276
0,0,SHOPPING,PLACE,2,acc,47,0.0638298
0,0,SHOPPING,PLACE,2,precision,38,0.1578947
0,0,SHOPPING,PLACE,2,recall,28,0.2142857
0,0,SHOPPING,PLACE,2,f1,60,0.1818182
0,0,SHOPPING,NEIGHBOURHOOD,2,acc,43,0.5116279
0,0,SHOPPING,NEIGHBOURHOOD,2,precision,34,0.6764706
0,0,SHOPPING,NEIGHBOURHOOD,2,recall,36,0.6388889
0,0,SHOPPING,NEIGHBOURHOOD,2,f1,47,0.6571429
0,0,SHOPPING,TIME,2,acc,3,0.0000000
0,0,SHOPPING,TIME,2,precision,3,0.0000000
0,0,SHOPPING,TIME,2,recall,0,-
0,0,SHOPPING,TIME,2,f1,3,-
0,0,SHOPPING,all,2,acc,72,0.0000000
0,0,SHOPPING,all,2,precision,99,0.4040404
0,0,SHOPPING,all,2,recall,151,0.2649007
0,0,SHOPPING,all,2,f1,210,0.3200000
0,0,ACCOMMODATION,INFO,2,acc,89,0.0112360
0,0,ACCOMMODATION,INFO,2,precision,1,1.0000000
0,0,ACCOMMODATION,INFO,2,recall,104,0.0096154
0,0,ACCOMMODATION,INFO,2,f1,104,0.0190476
0,0,ACCOMMODATION,TYPE_OF_PLACE,2,acc,28,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,2,precision,21,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,2,recall,16,0.0000000
0,0,ACCOMMODATION,TYPE_OF_PLACE,2,f1,37,-
0,0,ACCOMMODATION,PLACE,2,acc,96,0.0416667
0,0,ACCOMMODATION,PLACE,2,precision,10,0.4000000
0,0,ACCOMMODATION,PLACE,2,recall,97,0.0412371
0,0,ACCOMMODATION,PLACE,2,f1,103,0.0747664
0,0,ACCOMMODATION,NEIGHBOURHOOD,2,acc,41,0.0975610
0,0,ACCOMMODATION,NEIGHBOURHOOD,2,precision,32,0.1562500
0,0,ACCOMMODATION,NEIGHBOURHOOD,2,recall,19,0.2631579
0,0,ACCOMMODATION,NEIGHBOURHOOD,2,f1,46,0.1960784
0,0,ACCOMMODATION,all,2,acc,118,0.0169492
0,0,ACCOMMODATION,all,2,precision,64,0.1562500
0,0,ACCOMMODATION,all,2,recall,236,0.0423729
0,0,ACCOMMODATION,all,2,f1,290,0.0666667
0,0,basic,total_wall_time,,,,167.727054119
0,0,basic,sessions,,,,10
0,0,basic,utterances,,,,14878
0,0,basic,wall_time_per_utterance,,,,0.0112734946982
0,0,basic,dataset,,,,dstc5_test
0,1,all,all,1,acc,12290,0.0161107
0,1,all,all,1,precision,21107,0.1742550
0,1,all,all,1,recall,28749,0.1279349
0,1,all,all,1,f1,46178,0.1475449
0,1,FOOD,INFO,1,acc,1733,0.0640508
0,1,FOOD,INFO,1,precision,512,0.2949219
0,1,FOOD,INFO,1,recall,1945,0.0776350
0,1,FOOD,INFO,1,f1,2306,0.1229141
0,1,FOOD,CUISINE,1,acc,778,0.1863753
0,1,FOOD,CUISINE,1,precision,391,0.4168798
0,1,FOOD,CUISINE,1,recall,673,0.2421991
0,1,FOOD,CUISINE,1,f1,901,0.3063910
0,1,FOOD,TYPE_OF_PLACE,1,acc,454,0.1167401
0,1,FOOD,TYPE_OF_PLACE,1,precision,155,0.4064516
0,1,FOOD,TYPE_OF_PLACE,1,recall,378,0.1666667
0,1,FOOD,TYPE_OF_PLACE,1,f1,470,0.2363977
0,1,FOOD,DRINK,1,acc,830,0.0361446
0,1,FOOD,DRINK,1,precision,903,0.0420819
0,1,FOOD,DRINK,1,recall,112,0.3392857
0,1,FOOD,DRINK,1,f1,977,0.0748768
0,1,FOOD,PLACE,1,acc,1167,0.0000000
0,1,FOOD,PLACE,1,precision,889,0.0000000
0,1,FOOD,PLACE,1,recall,527,0.0000000
0,1,FOOD,PLACE,1,f1,1416,-
0,1,FOOD,MEAL_TIME,1,acc,23,0.1304348
0,1,FOOD,MEAL_TIME,1,precision,21,1.0000000
0,1,FOOD,MEAL_TIME,1,recall,46,0.4565217
0,1,FOOD,MEAL_TIME,1,f1,46,0.6268657
0,1,FOOD,DISH,1,acc,1801,0.0832871
0,1,FOOD,DISH,1,precision,967,0.2326784
0,1,FOOD,DISH,1,recall,1865,0.1206434
0,1,FOOD,DISH,1,f1,2607,0.1588983
0,1,FOOD,NEIGHBOURHOOD,1,acc,313,0.0958466
0,1,FOOD,NEIGHBOURHOOD,1,precision,55,0.5454545
0,1,FOOD,NEIGHBOURHOOD,1,recall,310,0.0967742
0,1,FOOD,NEIGHBOURHOOD,1,f1,335,0.1643836
0,1,FOOD,all,1,acc,2683,0.0249720
0,1,FOOD,all,1,precision,3893,0.1774981
0,1,FOOD,all,1,recall,5856,0.1179986
0,1,FOOD,all,1,f1,9058,0.1417581
0,1,ATTRACTION,INFO,1,acc,4265,0.0372802
0,1,ATTRACTION,INFO,1,precision,743,0.5047106
0,1,ATTRACTION,INFO,1,recall,4948,0.0757882
0,1,ATTRACTION,INFO,1,f1,5316,0.1317870
0,1,ATTRACTION,TYPE_OF_PLACE,1,acc,2164,0.1400185
0,1,ATTRACTION,TYPE_OF_PLACE,1,precision,1583,0.2331017
0,1,ATTRACTION,TYPE_OF_PLACE,1,recall,1388,0.2658501
0,1,ATTRACTION,TYPE_OF_PLACE,1,f1,2602,0.2484012
0,1,ATTRACTION,ACTIVITY,1,acc,3503,0.0419640
0,1,ATTRACTION,ACTIVITY,1,precision,4038,0.0874195
0,1,ATTRACTION,ACTIVITY,1,recall,1233,0.2862936
0,1,ATTRACTION,ACTIVITY,1,f1,4918,0.1339404
0,1,ATTRACTION,PLACE,1,acc,3920,0.1079082
0,1,ATTRACTION,PLACE,1,precision,836,0.6267943
0,1,ATTRACTION,PLACE,1,recall,3987,0.1314271
0,1,ATTRACTION,PLACE,1,f1,4299,0.2172921
0,1,ATTRACTION,TIME,1,acc,581,0.0550775
0,1,ATTRACTION,TIME,1,precision,854,0.1873536
0,1,ATTRACTION,TIME,1,recall,300,0.5333333
0,1,ATTRACTION,TIME,1,f1,994,0.2772964
0,1,ATTRACTION,NEIGHBOURHOOD,1,acc,1959,0.2281776
0,1,ATTRACTION,NEIGHBOURHOOD,1,precision,820,0.5902439
0,1,ATTRACTION,NEIGHBOURHOOD,1,recall,1843,0.2626153
0,1,ATTRACTION,NEIGHBOURHOOD,1,f1,2179,0.3634998
0,1,ATTRACTION,all,1,acc,5949,0.0196672
0,1,ATTRACTION,all,1,precision,8874,0.2552400
0,1,ATTRACTION,all,1,recall,13699,0.1653405
0,1,ATTRACTION,all,1,f1,20308,0.2006822
0,1,TRANSPORTATION,INFO,1,acc,1137,0.0510114
0,1,TRANSPORTATION,INFO,1,precision,69,0.8405797
0,1,TRANSPORTATION,INFO,1,recall,1195,0.0485356
0,1,TRANSPORTATION,INFO,1,f1,1206,0.0917722
0,1,TRANSPORTATION,FROM,1,acc,1329,0.0112867
0,1,TRANSPORTATION,FROM,1,precision,2206,0.0339982
0,1,TRANSPORTATION,FROM,1,recall,1055,0.0710900
0,1,TRANSPORTATION,FROM,1,f1,3186,0.0459982
0,1,TRANSPORTATION,TO,1,acc,1339,0.0082151
0,1,TRANSPORTATION,TO,1,precision,2206,0.0634633
0,1,TRANSPORTATION,TO,1,recall,1081,0.1295097
0,1,TRANSPORTATION,TO,1,f1,3147,0.0851841
0,1,TRANSPORTATION,STATION,1,acc,381,0.0000000
0,1,TRANSPORTATION,STATION,1,precision,145,0.0206897
0,1,TRANSPORTATION,STATION,1,recall,269,0.0111524
0,1,TRANSPORTATION,STATION,1,f1,411,0.0144928
0,1,TRANSPORTATION,LINE,1,acc,242,0.0537190
0,1,TRANSPORTATION,LINE,1,precision,18,0.7222222
0,1,TRANSPORTATION,LINE,1,recall,263,0.0494297
0,1,TRANSPORTATION,LINE,1,f1,268,0.0925267
0,1,TRANSPORTATION,TYPE,1,acc,1817,0.0517336
0,1,TRANSPORTATION,TYPE,1,precision,846,0.1914894
0,1,TRANSPORTATION,TYPE,1,recall,1771,0.0914737
0,1,TRANSPORTATION,TYPE,1,f1,2455,0.1238059
0,1,TRANSPORTATION,TICKET,1,acc,43,0.4186047
0,1,TRANSPORTATION,TICKET,1,precision,18,1.0000000
0,1,TRANSPORTATION,TICKET,1,recall,43,0.4186047
0,1,TRANSPORTATION,TICKET,1,f1,43,0.5901639
0,1,TRANSPORTATION,all,1,acc,1940,0.0000000
0,1,TRANSPORTATION,all,1,precision,5508,0.0851489
0,1,TRANSPORTATION,all,1,recall,5677,0.0826141
0,1,TRANSPORTATION,all,1,f1,10716,0.0838623
0,1,SHOPPING,INFO,1,acc,557,0.0071813
0,1,SHOPPING,INFO,1,precision,44,0.2045455
0,1,SHOPPING,INFO,1,recall,603,0.0149254
0,1,SHOPPING,INFO,1,f1,638,0.0278207
0,1,SHOPPING,TYPE_OF_PLACE,1,acc,371,0.1590296
0,1,SHOPPING,TYPE_OF_PLACE,1,precision,105,0.5809524
0,1,SHOPPING,TYPE_OF_PLACE,1,recall,331,0.1842900
0,1,SHOPPING,TYPE_OF_PLACE,1,f1,375,0.2798165
0,1,SHOPPING,PLACE,1,acc,453,0.0000000
0,1,SHOPPING,PLACE,1,precision,491,0.0733198
0,1,SHOPPING,PLACE,1,recall,277,0.1299639
0,1,SHOPPING,PLACE,1,f1,732,0.0937500
0,1,SHOPPING,NEIGHBOURHOOD,1,acc,337,0.0534125
0,1,SHOPPING,NEIGHBOURHOOD,1,precision,34,0.6176471
0,1,SHOPPING,NEIGHBOURHOOD,1,recall,330,0.0636364
0,1,SHOPPING,NEIGHBOURHOOD,1,f1,343,0.1153846
0,1,SHOPPING,TIME,1,acc,43,0.0000000
0,1,SHOPPING,TIME,1,precision,101,0.0000000
0,1,SHOPPING,TIME,1,recall,0,-
0,1,SHOPPING,TIME,1,f1,101,-
0,1,SHOPPING,all,1,acc,745,0.0026846
0,1,SHOPPING,all,1,precision,775,0.1638710
0,1,SHOPPING,all,1,recall,1541,0.0824140
0,1,SHOPPING,all,1,f1,2189,0.1096718
0,1,ACCOMMODATION,INFO,1,acc,817,0.0379437
0,1,ACCOMMODATION,INFO,1,precision,147,0.2312925
0,1,ACCOMMODATION,INFO,1,recall,917,0.0370774
0,1,ACCOMMODATION,INFO,1,f1,1030,0.0639098
0,1,ACCOMMODATION,TYPE_OF_PLACE,1,acc,488,0.1106557
0,1,ACCOMMODATION,TYPE_OF_PLACE,1,precision,427,0.1264637
0,1,ACCOMMODATION,TYPE_OF_PLACE,1,recall,140,0.3857143
0,1,ACCOMMODATION,TYPE_OF_PLACE,1,f1,513,0.1904762
0,1,ACCOMMODATION,PLACE,1,acc,918,0.0000000
0,1,ACCOMMODATION,PLACE,1,precision,1403,0.0064148
0,1,ACCOMMODATION,PLACE,1,recall,782,0.0115090
0,1,ACCOMMODATION,PLACE,1,f1,2176,0.0082380
0,1,ACCOMMODATION,NEIGHBOURHOOD,1,acc,177,0.1638418
0,1,ACCOMMODATION,NEIGHBOURHOOD,1,precision,80,0.3625000
0,1,ACCOMMODATION,NEIGHBOURHOOD,1,recall,137,0.2116788
0,1,ACCOMMODATION,NEIGHBOURHOOD,1,f1,188,0.2672811
0,1,ACCOMMODATION,all,1,acc,973,0.0123330
0,1,ACCOMMODATION,all,1,precision,2057,0.0612543
0,1,ACCOMMODATION,all,1,recall,1976,0.0637652
0,1,ACCOMMODATION,all,1,f1,3907,0.0624845
0,1,all,all,2,acc,1307,0.0221882
0,1,all,all,2,precision,2683,0.1979128
0,1,all,all,2,recall,2993,0.1774140
0,1,all,all,2,f1,5145,0.1871036
0,1,FOOD,INFO,2,acc,163,0.0858896
0,1,FOOD,INFO,2,precision,63,0.3174603
0,1,FOOD,INFO,2,recall,178,0.1123596
0,1,FOOD,INFO,2,f1,221,0.1659751
0,1,FOOD,CUISINE,2,acc,88,0.1931818
0,1,FOOD,CUISINE,2,precision,53,0.3962264
0,1,FOOD,CUISINE,2,recall,75,0.2800000
0,1,FOOD,CUISINE,2,f1,107,0.3281250
0,1,FOOD,TYPE_OF_PLACE,2,acc,50,0.1000000
0,1,FOOD,TYPE_OF_PLACE,2,precision,24,0.2916667
0,1,FOOD,TYPE_OF_PLACE,2,recall,36,0.1944444
0,1,FOOD,TYPE_OF_PLACE,2,f1,53,0.2333333
0,1,FOOD,DRINK,2,acc,106,0.0471698
