team,entry,topic,slot,schedule,stat,N,result
2,4,all,all,1,precision,20292,0.4862015
2,4,all,all,1,recall,28749,0.3431772
2,4,all,all,1,f1,39175,0.4023572
2,4,all,all,2,acc,1307,0.0872226
2,4,all,all,2,precision,2119,0.5427088
2,4,all,all,2,recall,2993,0.3842299
2,4,all,all,2,f1,3962,0.4499218
3,0,all,all,1,acc,12290,0.0350692
3,0,all,all,1,precision,13541,0.3216158
3,0,all,all,1,recall,28749,0.1514835
3,0,all,all,1,f1,37935,0.2059589
3,0,all,all,2,acc,1307,0.0504973
3,0,all,all,2,precision,1827,0.3349754
3,0,all,all,2,recall,2993,0.2044771
3,0,all,all,2,f1,4208,0.2539419
3,1,all,all,1,acc,12290,0.0303499
3,1,all,all,1,precision,24266,0.2647738
3,1,all,all,1,recall,28749,0.2234860
3,1,all,all,1,f1,46590,0.2423842
3,1,all,all,2,acc,1307,0.0367253
3,1,all,all,2,precision,3085,0.2787682
3,1,all,all,2,recall,2993,0.2873371
3,1,all,all,2,f1,5218,0.2829878
3,2,all,all,1,acc,12290,0.0288853
3,2,all,all,1,precision,13897,0.3181982
3,2,all,all,1,recall,28749,0.1538140
3,2,all,all,1,f1,38224,0.2073817
3,2,all,all,2,acc,1307,0.0405509
3,2,all,all,2,precision,1842,0.3376764
3,2,all,all,2,recall,2993,0.2078182
3,2,all,all,2,f1,4213,0.2572906
3,3,all,all,1,acc,12290,0.0340928
3,3,all,all,1,precision,20581,0.2926486
3,3,all,all,1,recall,28749,0.2095029
3,3,all,all,1,f1,43307,0.2441922
3,3,all,all,2,acc,1307,0.0451415
3,3,all,all,2,precision,2659,0.3076344
3,3,all,all,2,recall,2993,0.2733044
3,3,all,all,2,f1,4834,0.2894551
4,0,all,all,1,acc,12290,0.0583401
4,0,all,all,1,precision,19913,0.4007935
4,0,all,all,1,recall,28749,0.2776097
4,0,all,all,1,f1,40681,0.3280178
4,0,all,all,2,acc,1307,0.0765111
4,0,all,all,2,precision,2382,0.4126784
4,0,all,all,2,recall,2993,0.3284330
4,0,all,all,2,f1,4392,0.3657674
4,1,all,all,1,acc,12290,0.0406835
4,1,all,all,1,precision,26430,0.3553916
4,1,all,all,1,recall,28749,0.3267244
4,1,all,all,1,f1,45786,0.3404556
4,1,all,all,2,acc,1307,0.0413160
4,1,all,all,2,precision,2998,0.3569046
4,1,all,all,2,recall,2993,0.3575008
4,1,all,all,2,f1,4921,0.3572025
4,2,all,all,1,acc,12290,0.0515053
4,2,all,all,1,precision,29164,0.3681937
4,2,all,all,1,recall,28749,0.3735086
4,2,all,all,1,f1,47175,0.3708321
4,2,all,all,2,acc,1307,0.0635042
4,2,all,all,2,precision,3288,0.3768248
4,2,all,all,2,recall,2993,0.4139659
4,2,all,all,2,f1,5042,0.3945232
4,3,all,all,1,acc,12290,0.0552482
4,3,all,all,1,precision,27717,0.3716852
4,3,all,all,1,recall,28749,0.3583429
4,3,all,all,1,f1,46164,0.3648921
4,3,all,all,2,acc,1307,0.0680949
4,3,all,all,2,precision,3166,0.3806064
4,3,all,all,2,recall,2993,0.4026061
4,3,all,all,2,f1,4954,0.3912973
4,4,all,all,1,acc,12290,0.0454028
4,4,all,all,1,precision,30435,0.3472975
4,4,all,all,1,recall,28749,0.3676650
4,4,all,all,1,f1,48614,0.3571911
4,4,all,all,2,acc,1307,0.0558531
4,4,all,all,2,precision,3447,0.3510299
4,4,all,all,2,recall,2993,0.4042766
4,4,all,all,2,f1,5230,0.3757764
5,0,all,all,1,acc,12290,0.0330350
5,0,all,all,1,precision,19739,0.3376564
5,0,all,all,1,recall,28749,0.2318342
5,0,all,all,1,f1,41823,0.2749134
5,0,all,all,2,acc,1307,0.0520275
5,0,all,all,2,precision,2505,0.3636727
5,0,all,all,2,recall,2993,0.3043769
5,0,all,all,2,f1,4587,0.3313932
5,1,all,all,1,acc,12290,0.0187144
5,1,all,all,1,precision,45907,0.1473849
5,1,all,all,1,recall,29107,0.2324527
5,1,all,all,1,f1,68248,0.1803930
5,1,all,all,2,acc,1307,0.0229533
5,1,all,all,2,precision,4749,0.1610865
5,1,all,all,2,recall,3029,0.2525586
5,1,all,all,2,f1,7013,0.1967087
5,2,all,all,1,acc,12290,0.0183076
5,2,all,all,1,precision,18008,0.1973012
5,2,all,all,1,recall,28749,0.1235869
5,2,all,all,1,f1,43204,0.1519772
5,2,all,all,2,acc,1307,0.0168324
5,2,all,all,2,precision,1558,0.2002567
5,2,all,all,2,recall,2993,0.1042432
5,2,all,all,2,f1,4239,0.1371127
5,3,all,all,1,acc,12290,0.0313263
5,3,all,all,1,precision,31482,0.1505940
5,3,all,all,1,recall,28776,0.1647554
5,3,all,all,1,f1,55517,0.1573567
5,3,all,all,2,acc,1307,0.0413160
5,3,all,all,2,precision,3576,0.1728188
5,3,all,all,2,recall,2997,0.2062062
5,3,all,all,2,f1,5955,0.1880420
5,4,all,all,1,acc,12290,0.0092758
5,4,all,all,1,precision,3583,0.4264583
5,4,all,all,1,recall,28749,0.0531497
5,4,all,all,1,f1,30804,0.0945194
5,4,all,all,2,acc,1307,0.0114767
5,4,all,all,2,precision,385,0.4285714
5,4,all,all,2,recall,2993,0.0551286
5,4,all,all,2,f1,3213,0.0976909
6,0,all,all,1,acc,12290,0.0388934
6,0,all,all,1,precision,13462,0.4466647
6,0,all,all,1,recall,28749,0.2091551
6,0,all,all,1,f1,36198,0.2849020
6,0,all,all,2,acc,1307,0.0482020
6,0,all,all,2,precision,1670,0.4508982
6,0,all,all,2,recall,2993,0.2515870
6,0,all,all,2,f1,3910,0.3229680
6,1,all,all,1,acc,12290,0.0340114
6,1,all,all,1,precision,18685,0.3896709
6,1,all,all,1,recall,28749,0.2532610
6,1,all,all,1,f1,40153,0.3069950
6,1,all,all,2,acc,1307,0.0382555
6,1,all,all,2,precision,2301,0.4063451
6,1,all,all,2,recall,2993,0.3123956
6,1,all,all,2,f1,4359,0.3532301
6,2,all,all,1,acc,12290,0.0491456
6,2,all,all,1,precision,13464,0.4683601
6,2,all,all,1,recall,28749,0.2193468
6,2,all,all,1,f1,35907,0.2987705
6,2,all,all,2,acc,1307,0.0642693
6,2,all,all,2,precision,1650,0.4757576
6,2,all,all,2,recall,2993,0.2622787
6,2,all,all,2,f1,3858,0.3381434
7,0,all,all,1,acc,12290,0.0091945
7,0,all,all,1,precision,2888,0.4286704
7,0,all,all,1,recall,28749,0.0430624
7,0,all,all,1,f1,30399,0.0782628
7,0,all,all,2,acc,1307,0.0107116
7,0,all,all,2,precision,330,0.4000000
7,0,all,all,2,recall,2993,0.0441029
7,0,all,all,2,f1,3191,0.0794463
7,1,all,all,1,acc,12290,0.0085435
7,1,all,all,1,precision,2001,0.5892054
7,1,all,all,1,recall,28749,0.0410101
7,1,all,all,1,f1,29571,0.0766829
7,1,all,all,2,acc,1307,0.0114767
7,1,all,all,2,precision,244,0.5368852
7,1,all,all,2,recall,2993,0.0437688
7,1,all,all,2,f1,3106,0.0809391
8,0,all,all,1,acc,12290,0.0192026
8,0,all,all,1,precision,9623,0.3130001
8,0,all,all,1,recall,28749,0.1047689
8,0,all,all,1,f1,35360,0.1569895
8,0,all,all,2,acc,1307,0.0214231
8,0,all,all,2,precision,1036,0.3021236
8,0,all,all,2,recall,2993,0.1045773
8,0,all,all,2,f1,3716,0.1553735
8,1,all,all,1,acc,12290,0.0067535
8,1,all,all,1,precision,12294,0.0924028
8,1,all,all,1,recall,28749,0.0395144
8,1,all,all,1,f1,39907,0.0553566
8,1,all,all,2,acc,1307,0.0068860
8,1,all,all,2,precision,1308,0.0948012
8,1,all,all,2,recall,2993,0.0414300
8,1,all,all,2,f1,4177,0.0576610
9,0,all,all,1,acc,12290,0.0231082
9,0,all,all,1,precision,27498,0.1139356
9,0,all,all,1,recall,28749,0.1089777
9,0,all,all,1,f1,53114,0.1114015
9,0,all,all,2,acc,1307,0.0313695
9,0,all,all,2,precision,3151,0.1412250
9,0,all,all,2,recall,2993,0.1486803
9,0,all,all,2,f1,5699,0.1448568
